activity_seq_name,activity_seq_path,activity_seq_length,activity
prelinger_they_grow_up_so_fast_1_smile_u_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/prelinger_they_grow_up_so_fast_1_smile_u_nm_np1_fr_med_0,11,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_11,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_11,14,smile
MySmile_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/MySmile_smile_h_nm_np1_fr_goo_0,12,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_14,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_14,14,smile
YouTube_smiles!_smile_h_cm_np1_fr_med_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_med_2,12,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_13,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_13,12,smile
SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_6,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_6,26,smile
Re-_Show_Your_Smile_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_Your_Smile_smile_h_nm_np1_fr_goo_0,16,smile
YouTube_smiles!_smile_h_cm_np1_fr_med_26,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_med_26,12,smile
YouTube_smiles!_smile_h_cm_np1_fr_bad_5,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_bad_5,11,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_4,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_4,9,smile
Glory_smile_h_nm_np1_le_goo_6,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Glory_smile_h_nm_np1_le_goo_6,15,smile
YouTube_smiles!_smile_h_cm_np1_fr_goo_30,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_goo_30,14,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_8,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_8,10,smile
YouTube_smiles!_smile_h_cm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_goo_0,14,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_33,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_33,10,smile
Re-_Re-_Show_your_Smile!_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Re-_Show_your_Smile!_smile_h_nm_np1_fr_med_0,15,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_6,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_6,9,smile
SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_2,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_40,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_40,13,smile
prelinger_LetsPlay1949_smile_h_nm_np1_le_goo_25,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/prelinger_LetsPlay1949_smile_h_nm_np1_le_goo_25,37,smile
Return_of_the_King_4_smile_h_nm_np1_fr_goo_4,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Return_of_the_King_4_smile_h_nm_np1_fr_goo_4,14,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_35,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_35,10,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_24,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_24,11,smile
prelinger_LetsPlay1949_smile_u_nm_np1_fr_med_24,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/prelinger_LetsPlay1949_smile_u_nm_np1_fr_med_24,14,smile
Show_Your_Smile_-)_1_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Show_Your_Smile_-)_1_smile_h_nm_np1_fr_goo_0,16,smile
YouTube_smiles!_smile_h_cm_np1_fr_goo_34,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_goo_34,11,smile
smile_collection_7_smile_h_nm_np1_fr_goo_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/smile_collection_7_smile_h_nm_np1_fr_goo_1,22,smile
Re-_Show_your_Smile!_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_smile_h_nm_np1_fr_goo_0,9,smile
SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_med_5,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_med_5,17,smile
Re-_Show_your_Smile!_2_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_2_smile_h_nm_np1_fr_goo_0,16,smile
SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_1,8,smile
SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_bad_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_bad_2,16,smile
SE7EN_SMILES_x3_smile_h_nm_np1_fr_bad_7,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_nm_np1_fr_bad_7,14,smile
Smile_smile_h_cm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Smile_smile_h_cm_np1_fr_goo_0,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_32,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_32,20,smile
SE7EN_SMILES_x3_smile_h_cm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_cm_np1_fr_med_0,10,smile
SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_4,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_4,16,smile
Re-_Show_your_Smile!_4_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_4_smile_h_nm_np1_fr_med_0,16,smile
Smile_-]_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Smile_-]_smile_h_nm_np1_fr_goo_0,14,smile
YouTube_smiles!_smile_h_cm_np1_fr_med_31,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_med_31,11,smile
Re-_Show_your_Smile!_3_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_3_smile_h_nm_np1_fr_goo_0,16,smile
SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_med_4,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_med_4,14,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_16,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_16,13,smile
showyoursmile_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/showyoursmile_smile_h_nm_np1_fr_goo_0,16,smile
prelinger_LetsPlay1949_smile_h_nm_np1_fr_goo_27,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/prelinger_LetsPlay1949_smile_h_nm_np1_fr_goo_27,20,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_7,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_7,10,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_9,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_9,12,smile
SE7EN_SMILES_x3_smile_h_cm_np1_fr_med_10,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_cm_np1_fr_med_10,10,smile
YouTube_smiles!_smile_h_cm_np1_fr_med_39,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_med_39,14,smile
SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_goo_3,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_goo_3,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_29,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_29,14,smile
For_youtube_smiles_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/For_youtube_smiles_smile_h_nm_np1_fr_med_0,23,smile
YouTube_smiles!_smile_h_cm_np1_fr_bad_3,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_bad_3,12,smile
Re-_Show_your_Smile!_9_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_9_smile_h_nm_np1_fr_med_0,16,smile
Re-_Show_your_Smile!_7_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_7_smile_h_nm_np1_fr_med_0,15,smile
Re-_Show_your_Smile!_8_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_8_smile_h_nm_np1_fr_goo_0,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_12,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_12,11,smile
SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_med_0,20,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_23,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_23,13,smile
my_smile_smile_h_cm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/my_smile_smile_h_cm_np1_fr_goo_0,16,smile
SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_cm_np1_fr_bad_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_cm_np1_fr_bad_1,16,smile
SE7EN_SMILES_x3_smile_h_cm_np1_fr_goo_5,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_cm_np1_fr_goo_5,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_bad_21,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_bad_21,10,smile
SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_med_3,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_med_3,12,smile
My_smileEh_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/My_smileEh_smile_h_nm_np1_fr_goo_0,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_bad_27,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_bad_27,12,smile
YouTube_smiles!_smile_h_cm_np1_fr_goo_28,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_goo_28,11,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_10,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_10,11,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_38,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_38,11,smile
SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_goo_0,18,smile
Pirates_3_smile_h_nm_np1_ri_goo_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Pirates_3_smile_h_nm_np1_ri_goo_1,12,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_15,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_15,10,smile
SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_goo_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_2_-TREASURING_THE_GIRLCHILD_smile_h_nm_np1_fr_goo_2,16,smile
Two_Towers_3_smile_h_nm_np1_fr_goo_7,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Two_Towers_3_smile_h_nm_np1_fr_goo_7,16,smile
Glory_smile_h_nm_np1_fr_med_5,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Glory_smile_h_nm_np1_fr_med_5,14,smile
prelinger_LetsPlay1949_smile_u_nm_np1_ri_med_21,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/prelinger_LetsPlay1949_smile_u_nm_np1_ri_med_21,18,smile
Smile!_smile_h_cm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Smile!_smile_h_cm_np1_fr_goo_0,14,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_20,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_20,7,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_1,14,smile
A_Beautiful_Mind_2_smile_h_nm_np1_fr_goo_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/A_Beautiful_Mind_2_smile_h_nm_np1_fr_goo_2,21,smile
Me_smiling_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Me_smiling_smile_h_nm_np1_fr_goo_0,16,smile
Show_my_what_smile_h_cm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Show_my_what_smile_h_cm_np1_fr_med_0,16,smile
YouTube_smiles!_smile_h_cm_np1_fr_bad_25,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_bad_25,13,smile
YouTube_smiles!_smile_h_nm_np1_fr_bad_18,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_bad_18,11,smile
YouTube_smiles!_smile_h_nm_np1_fr_goo_22,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_goo_22,7,smile
Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_fr_med_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_fr_med_2,19,golf
Ariya_Swing_golf_f_cm_np1_fr_bad_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Ariya_Swing_golf_f_cm_np1_fr_bad_0,17,golf
Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_ri_med_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_ri_med_1,19,golf
Paula_Creamer_-_Sybase_Classic_2009_golf_f_cm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Paula_Creamer_-_Sybase_Classic_2009_golf_f_cm_np1_fr_med_0,16,golf
Mike_Weir_golf_f_cm_np1_le_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Mike_Weir_golf_f_cm_np1_le_med_0,16,golf
Angry_Female_Golfer_golf_f_cm_np1_fr_bad_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Angry_Female_Golfer_golf_f_cm_np1_fr_bad_0,18,golf
Evian_Masters_Junior_Cup_Highlights_2009_golf_f_nm_np1_le_goo_4,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Evian_Masters_Junior_Cup_Highlights_2009_golf_f_nm_np1_le_goo_4,16,golf
Huge_Drive!_Please_Rate_It_golf_f_cm_np1_ri_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Huge_Drive!_Please_Rate_It_golf_f_cm_np1_ri_goo_0,16,golf
Paula_Creamer_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Paula_Creamer_golf_f_cm_np1_ri_med_0,16,golf
Ian_Poulter_golf_f_cm_np1_le_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Ian_Poulter_golf_f_cm_np1_le_goo_0,16,golf
Steve_Elkington_1995_PGA_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Steve_Elkington_1995_PGA_golf_f_cm_np1_ri_med_0,14,golf
Golf_Swing_#6Iron_golf_f_cm_np1_ri_med_4,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Golf_Swing_#6Iron_golf_f_cm_np1_ri_med_4,14,golf
Sergio_Garcia_-_Southern_Hills_#15_IRON_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Sergio_Garcia_-_Southern_Hills_#15_IRON_golf_f_cm_np1_ri_med_0,12,golf
Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_ri_med_3,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Jordan_Malinoff_and__Anthony_Kim_Practice_golf_f_cm_np1_ri_med_3,20,golf
Ben_Hogan_Swing_golf_f_nm_np1_ri_med_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Ben_Hogan_Swing_golf_f_nm_np1_ri_med_2,16,golf
miyazato_ai_9_iron_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/miyazato_ai_9_iron_golf_f_cm_np1_ri_med_0,19,golf
Jeff_Ritter_-_More_Distance_golf_f_nm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Jeff_Ritter_-_More_Distance_golf_f_nm_np1_ri_med_0,16,golf
Mac_O_grady_driver_face__06_golf_f_cm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Mac_O_grady_driver_face__06_golf_f_cm_np1_fr_med_0,16,golf
Jeff_Ritter_-_Power_Drill_golf_f_nm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Jeff_Ritter_-_Power_Drill_golf_f_nm_np1_ri_med_0,16,golf
Golfswing_golf_f_cm_np1_ri_goo_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Golfswing_golf_f_cm_np1_ri_goo_1,17,golf
Adam_Scott_golf_f_cm_np1_le_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Adam_Scott_golf_f_cm_np1_le_goo_0,16,golf
Michelle_Wie__Golf_Swing_golf_f_cm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Michelle_Wie__Golf_Swing_golf_f_cm_np1_fr_med_0,16,golf
Dr__Feels_Golf_Wedge_Secret_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Dr__Feels_Golf_Wedge_Secret_golf_f_cm_np1_ri_med_0,16,golf
Anna_Rawson_LPGA_golf_f_nm_np1_ri_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Anna_Rawson_LPGA_golf_f_nm_np1_ri_goo_0,16,golf
Golf_Swing_#6Iron_golf_f_cm_np1_ri_med_5,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Golf_Swing_#6Iron_golf_f_cm_np1_ri_med_5,16,golf
Na_Yeon_Choi_practice_1_golf_f_nm_np1_ri_goo_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Na_Yeon_Choi_practice_1_golf_f_nm_np1_ri_goo_1,16,golf
Ben_Hogan_Swing_golf_f_nm_np1_ri_med_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Ben_Hogan_Swing_golf_f_nm_np1_ri_med_1,16,golf
Evian_Masters_Junior_Cup_Highlights_2009_golf_f_nm_np1_ba_goo_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Evian_Masters_Junior_Cup_Highlights_2009_golf_f_nm_np1_ba_goo_2,13,golf
Anna_Rawson_Lesson_side_by_side_golf_f_nm_np2_ba_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Anna_Rawson_Lesson_side_by_side_golf_f_nm_np2_ba_goo_0,16,golf
Michelle_Wie_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Michelle_Wie_golf_f_cm_np1_ri_med_0,16,golf
Steve_Elkington_golf_f_cm_np1_ri_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Steve_Elkington_golf_f_cm_np1_ri_med_0,13,golf
Rate_my_golf_swing__driver_and_9_iron_golf_f_cm_np1_le_med_2,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Rate_my_golf_swing__driver_and_9_iron_golf_f_cm_np1_le_med_2,16,golf
Charles_Barkley_Golf_Swing_golf_f_cm_np1_ba_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/golf/Charles_Barkley_Golf_Swing_golf_f_cm_np1_ba_med_0,21,golf
